도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
하루 3줄 영어 일기,"조금씩, 매일, 계속 영어가 일취월장하는 3대 습관",20171127,자기계발,15000,9.3,380,0,11,59,1
마지막 패리시 부인(미드나잇 스릴러 시리즈),,20171130,소설,14800,9.3,488,1,10,60,1
청춘의 독서,세상을 바꾼 위험하고 위대한 생각들,20170707,인문,14800,9.4,328,1,6,61,1
OtvN 프리미엄 특강쇼 어쩌다 어른,,20170910,인문,15000,9.1,260,1,20,62,1
채식주의자,,20071030,소설,12000,8.7,247,0,5,63,1
콘텐츠의 미래,"콘텐츠 함정에서 벗어나는 순간, 거대한 기회가 열린다",20171113,경제/경영,28000,8.9,744,1,7,64,1
운을 읽는 변호사,1만 명 의뢰인의 삶을 분석한 결과,20171023,자기계발,13800,8.9,246,1,9,65,1
서울 부동산의 미래,부동산 투자의 완벽한 사용 설명서,20171026,경제/경영,16500,9.4,300,1,10,66,1
완벽하지 않은 것들에 대한 사랑,온전한 나를 위한 혜민 스님의 따뜻한 응원,20160203,시/에세이,14800,9.5,296,1,17,67,1
인플레이션,"부의 탄생, 부의 현재, 부의 미래",20171027,경제/경영,18000,8.2,376,1,5,68,1
도망치고 싶을 때 읽는 책,삶에 지친 당신을 위한 피로회복 심리학,20171205,인문,13800,8.9,216,1,14,69,1
끌리는 사람은 매출이 다르다,한 달 만에 수익을 30배 올리는 협상 노하우,20171129,경제/경영,13500,8.9,220,1,15,70,1
코스모스(보급판),,20100120,과학,18500,9.2,719,1,4,71,1
기다리는 행복,이해인 수녀가 건네는 사랑의 인사,20171222,시/에세이,15000,9.2,400,1,7,72,1
국가란 무엇인가(개정신판),,20170123,인문,15000,9.4,334,1,8,73,1
모든 관계는 말투에서 시작된다(10만 부 기념 스페셜 에디션),기분 좋은 사람으로 기억되는 사소한 습관,20181101,자기계발,12800,8.5,200,1,16,74,1
노르웨이의 숲(양장본 HardCover),,20170807,소설,15000,9.1,572,1,7,75,1
빨강머리 앤이 하는 말,아직 너무 늦지 않았을 우리에게,20160715,시/에세이,16000,9.3,336,1,12,76,1
나의 문화유산답사기. 9: 서울편(1),만천명월 주인옹은 말한다,20170821,역사/문화,18500,9,440,0,18,77,1
유시민의 글쓰기 특강,,20150410,인문,15000,9.5,292,1,11,78,1
스페셜솔져 코믹스. 7,,20171124,어린이(초등),9800,8.6,160,0,12,79,1
딸에 대하여(오늘의 젊은 작가 17)(양장본 HardCover),김혜진 장편소설,20170915,소설,13000,9.2,216,1,6,80,1
신과 함께: 저승편. 1(개정판),,20170710,만화,11000,9.8,256,0,13,81,1
해커스 토익 RC 리딩(Hackers TOEIC Reading)(개정판),본 교재 무료 동영상강의 제공 | 단어암기장(별책) & 단어암기 MP3 제공,20181224,외국어,18800,9.4,804,0,12,82,1
원피스. 87: 달콤하지 않아,,20171231,만화,5000,8.4,196,0,16,83,1
스물아홉 생일 1년 후 죽기로 결심했다,제1회 일본감동대상 대상 수상작,20120720,시/에세이,12800,9.2,235,0,21,84,1
우리는 언젠가 만난다,"나, 타인, 세계를 이어주는 40가지 눈부신 이야기",20171224,인문,14000,8.9,256,1,11,85,1
부의 추월차선,부자들이 말해 주지 않는 진정한 부를 얻는 방법,20130820,경제/경영,15000,8.9,392,1,7,86,1
잠. 1(양장본 HardCover),베르나르 베르베르 장편소설,20170608,소설,13800,9.3,336,1,4,87,1
지적 대화를 위한 넓고 얕은 지식: 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",20150204,인문,16000,9.4,376,0,26,88,1
혼자 잘해주고 상처받지 마라,서운하고 속상한 마음을 들키지않으려고 애쓰는 당신을 위한 감정의 심리학,20161027,자기계발,15000,9.3,288,1,15,89,1
나는 4시간만 일한다,디지털 노마드 시대 완전히 새로운 삶의 방식,20171020,자기계발,14800,8.7,368,1,11,90,1
하늘과 바람과 별과 시(미니북)(초판본)(윤동주 육필원고 리마스터링 초판본),,20171114,시/에세이,6000,9.7,224,0,12,91,1
인간 실격(세계문학전집 103),,20120410,소설,8000,9.3,192,1,5,92,1
통찰(EBS특별기획),예리한 관찰력으로 동서고금을 관통하다,20171025,인문,16000,9.3,280,0,2,93,1
해커스 토익 스타트 리딩(Hackers TOEIC Start Reading)(신토익 Edition)(3판),본 교재 무료 동영상강의 + 온라인 신토익 모의고사,20190116,외국어,14900,9.4,582,0,13,94,1
참 소중한 너라서(있는 그대로),지금도 충분히 아름다운 당신에게,,,,9.1,0,0,9,95,1
윔피키드. 12: 아찔한 휴가 일기(양장본 HardCover),,20171130,어린이(초등),12000,9,224,0,19,96,1
오늘의 인생,,20181217,만화,13000,8.9,240,0,6,97,1
"명견만리: 윤리, 기술, 중국, 교육 편",우리가 준비해야 할 미래의 기회를 말하다,20160921,경제/경영,15800,9.6,320,1,22,98,1
해커스 토익 LC 리스닝(Hackers TOEIC Listening)(개정판 7판),무료 실전문제 해설강의 | 단어암기장(별책) & 단어암기 MP3 제공,20190130,외국어,18800,9.5,626,0,13,99,1
"명견만리: 인구, 경제, 북한, 의료 편",향후 인류에게 가장 중요한 것들을 말하다,20160607,경제/경영,15800,9.5,296,1,22,100,1
주식투자 무작정 따라하기(개정판),70만 왕초보가 감동했다! 완벽한 투자 입문서!,20170102,경제/경영,16500,8.5,400,0,13,101,1
하이큐!!. 28,,20171231,만화,5000,9.7,196,0,9,102,1
착! 붙는 일본어 독학 첫걸음(CD1장포함),하루 한 시간 한 달 완성,20151015,외국어,14000,9.5,248,0,16,103,1
세계미래보고서 2018,세계적인 미래연구기구 밀레니엄 프로젝트의 2018 대전망,20171215,경제/경영,16000,8.7,352,0,12,104,1
그릿(Grit),"IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘",20161028,자기계발,16000,8.9,416,0,2,105,1
쿠키런 어드벤처. 24: 이탈리아 피렌체,쿠키들의 신나는 세계여행,20171125,어린이(초등),9800,9.2,164,0,22,106,1
용의자 X의 헌신(양장본 HardCover),,20170830,소설,16800,9.6,448,0,9,107,1
내일은 실험왕. 41: 해양의 대결,본격 대결 과학실험 만화,20171121,어린이(초등),12800,8.9,176,0,19,108,1
어쩌면 별들이 너의 슬픔을 가져갈지도 몰라(감성치유 라이팅북),김용택의 꼭 한번 필사하고 싶은 시,20150604,시/에세이,12800,9.4,280,0,23,109,1
완벽한 공부법,모든 공부의 최고의 지침서,20170106,자기계발,19800,9,516,1,7,110,1
신과 함께: 이승편. 1(개정판),,20170710,만화,13000,9.9,316,0,13,111,1
너의 췌장을 먹고 싶어,,20170401,소설,13800,9.3,328,1,12,112,1
"멈추면, 비로소 보이는 것들(개정판)",혜민 스님과 함께하는 내 마음 다시보기,20170315,시/에세이,14800,9.4,320,0,15,113,1
나를 보내지마(모던 클래식 3),,20091120,소설,13000,9.1,399,1,7,114,1
임신 출산 육아 대백과(2019~2020)(개정판),술술 잘 읽히는 첫아기 잘 키우는 법,20190701,가정/육아,18500,9.6,410,0,12,115,1
달의 조각,불완전해서 소중한 것들을 위한 기록,20170125,시/에세이,13800,8.9,288,1,5,116,1
원펀맨(One Punch Man). 14,절망의 끝,20171130,만화,5000,9.1,212,0,3,117,1
모두가 네 탓(CD1장포함)(양장본 HardCover),시인 나태주와 배우 이종석이 전하는 공감과 위로가 되어줄 선물,20171220,시/에세이,24800,9.1,272,0,7,118,1
블록체인 혁명(양장본 HardCover),"제4차 산업혁명 시대, 인공지능을 뛰어넘는 거대한 기술",20170120,경제/경영,25000,8.2,588,1,7,119,1
북유럽 신화,,20170626,역사/문화,14800,8.7,312,0,6,120,1
세상에서 가장 짧은 세계사,"2,000년 유럽의 모든 역사를 이해하기 위한 최소한의 지식",20171107,역사/문화,16000,8.9,296,1,14,121,1
마인크래프트: 좀비 섬의 비밀(양장본 HardCover),마인크래프트 공식 스토리북,20171211,어린이(초등),12800,9.6,272,0,16,122,1
이 삶을 사랑하지 않을 이유가 없다,죽음을 앞둔 서른여덟 작가가 전하는 인생의 의미,20171205,시/에세이,14000,9.5,376,1,19,123,1
신과 함께: 신화편. 1(개정판),,20170710,만화,11000,9.9,248,0,13,124,1
달의 영휴,사토 쇼고 장편소설,20171130,소설,13800,9.2,404,1,5,125,1
도티&잠뜰 스토리북-방탈출 대작전,,20171102,어린이(초등),8500,9.2,104,0,18,126,1
오리엔트 특급 살인,애거서 크리스티 장편 소설,20141125,소설,10000,9.4,341,1,10,127,1
일단 오늘은 나한테 잘합시다(행복한 고구마 에디션),어쩐지 의기양양 도대체 씨의 띄엄띄엄 인생 기술,20170925,시/에세이,13800,9.3,272,1,15,128,1
비트코인이 금화가 된다,당신의 부를 늘려줄 가상화폐,20171030,경제/경영,13800,7.9,216,1,12,129,1
해커스 토익 스타트 리스닝(Hackers TOEIC Start Listening)(신토익 Edition),"온라인 신토익 모의고사, 받아쓰기&쉐도잉 프로그램",20190130,외국어,14900,9.4,584,0,14,130,1
백종원이 추천하는 집밥 메뉴 55(백종원이 추천하는 집밥 메뉴 3),,20170421,요리,9900,9.3,152,1,18,131,1
봉제인형 살인사건,,20171020,소설,15000,9.1,400,1,9,132,1
쇼코의 미소,최은영 소설,20190620,소설,12000,9.5,296,1,6,133,1
해커스 토익 700+ LC+RC(한 권으로 끝내는),신토익 출제유형 100% 반영,20191227,외국어,19500,9.4,596,0,17,134,1
나는 가상화폐로 3달 만에 3억 벌었다,비트코인 이더리움 채굴기 실전투자 전략서,20170722,경제/경영,17000,8.6,272,0,21,135,1
시원스쿨 기초 영어법(개정판)(CD1장포함),,20121210,외국어,15000,8.9,304,1,11,136,1
늘 괜찮다 말하는 당신에게,정여울의 심리 치유 에세이,20171120,인문,16000,9.6,320,1,14,137,1
설민석의 무도 한국사 특강(개정판),인물 사건 문화유산,20190129,역사/문화,22000,9.6,433,1,14,138,1
내 마음을 읽는 시간,관계와 감정이 편해지는 심리학 공부,20171110,인문,15000,9.3,304,1,11,139,1
나의 한국현대사,"1959-2014, 55년의 기록",20140710,역사/문화,18000,9,420,1,8,140,1
총 균 쇠,무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,20051219,역사/문화,28000,9.1,751,0,5,141,1
마법천자문. 40: 고와라! 고울 선,,20170926,어린이(초등),9800,9.2,168,0,20,142,1
소년이 온다,한강 장편소설,20140519,소설,12000,9.6,216,0,6,143,1
모든 것이 되는 법,꿈이 너무 많은 당신을 위한 새로운 삶의 방식,20171130,자기계발,14800,8.6,264,1,10,144,1
데미안(세계문학전집 44),,20090120,소설,8000,9.4,240,1,3,145,1
사용빈도 1억 영어회화 표현(마유영어),원어민 99%가 매일같이 쓰는 역대 최강 회화 표현 컬렉션,20170520,외국어,13000,8.3,304,1,15,146,1
열혈강호. 74,,20171230,만화,4500,8.8,198,1,8,147,1
해커스 보카(Hackers Vocabulary)(개정판 2판),토플/IELTS/텝스/공무원/SAT/특목고,20150701,외국어,16900,9.3,366,0,6,148,1
"반 고흐, 영혼의 편지",,20170531,시/에세이,12000,9.5,312,0,12,149,1
당신의 이름을 지어다가 며칠은 먹었다(문학동네시인선 32),박준 시집,20170630,시/에세이,10000,9.3,143,1,20,150,1
엄마 반성문,전교 일등 남매 고교 자퇴 후 코칭 전문가 된 교장 선생님의 고백,20170901,가정/육아,14000,9.4,312,0,6,151,1
아픔이 길이 되려면(양장본 HardCover),정의로운 건강을 찾아 질병의 사회적 책임을 묻다,20170913,인문,18000,9.6,320,1,10,152,1
나는 120살까지 살기로 했다,"인생 후반, 나를 완성하는 삶의 기술",20170901,건강,16000,7.5,320,1,16,153,1
왜 나는 너를 사랑하는가(개정판)(양장본 HardCover),,20130115,소설,12000,9.1,278,1,13,154,1
비트코인 현상 블록체인 2.0,"가상화폐, 금융혁명 그 이상을 꿈꾸다",20170710,경제/경영,19000,9.1,472,0,16,155,1
명탐정 코난. 93,,20171030,만화,4500,8.9,150,0,10,156,1
데미안(초판본)(1919년 초판본 오리지널 표지 디자인)(양장본 HardCover),,20160627,소설,9800,9.7,276,1,3,157,1
ETS TOEIC(토익) Test 공식종합서 LC,출제기관 독점 공개,20160506,외국어,19800,9.4,744,0,9,158,1
워런 버핏 바이블(양장본 HardCover),버핏이 직접 말해주는 투자와 경영의 지혜,20171215,경제/경영,28000,9.6,646,1,9,159,1
너의 아름다움이 온통 글이 될까봐(문학동네시인선 100),문학동네시인선 기념 티저 시집,20171212,시/에세이,10000,9.3,248,1,18,160,1
하늘과 바람과 별과 시(미니북)(초판본)(1955년 정음사 오리지널 표지디자인),,20170317,시/에세이,5500,9.6,192,0,12,161,1
ETS TOEIC(토익) Test 공식종합서 RC,출제기관 독점 공개,20160506,외국어,19800,9.4,752,1,9,162,1
아홉 살 마음 사전,,20170310,어린이(초등),11000,9.6,168,0,10,163,1
플랫폼 레볼루션,4차 산업혁명 시대를 지배할 플랫폼 비즈니스의 모든 것,20170609,경제/경영,22000,9.6,512,1,8,164,1
백종원이 추천하는 집밥 메뉴 54,,20160120,요리,9900,8.2,156,1,18,165,1
무작정 따라하기 오사카 교토(2017-2018),고베 나라 와카야마,20170615,여행,18800,9.4,864,0,15,166,1
여덟 단어,인생을 대하는 우리의 자세,20130520,인문,15000,9.4,237,1,5,167,1
어린왕자(초판본)(양장본 HardCover),1943년 오리지널 초판본 표지디자인,20160830,소설,9800,9.7,148,1,4,168,1
타인은 나를 모른다,관계로부터 편안해지는 법,20170925,시/에세이,9900,8.9,144,0,10,169,1
저물 듯 저물지 않는,,20171212,소설,13800,9.4,352,0,11,170,1
영화를 찍으며 생각한 것(양장본 HardCover),고레에다 히로카즈 영화자서전,20171127,예술/대중문화,18000,9.5,448,0,13,171,1
영어는 3단어로,내일 당장 대화가 되는 초간단 영어법,20170721,외국어,13500,9.3,276,1,8,172,1
알사탕(그림책이 참 좋아 39)(양장본 HardCover),,20170325,유아(0~7세),12000,9.2,48,0,3,173,1
나에게 고맙다,"가장 흔한 말, 정작 나에게 하지 못한 인사",20160701,시/에세이,13800,9.3,272,1,7,174,1
월간순정 노자키 군. 9,,20171125,만화,5500,9.7,162,1,13,175,1
수학도둑. 61: 종합편(코믹 메이플스토리),지식 능력 경험을 융합하여 정리하는 NO.1 수학학습만화,20171120,어린이(초등),9500,9.3,176,0,13,176,1
너니까 좋아 너라서 좋아,쏘야쭝아의 달달한 연애상담소,20171026,시/에세이,13800,9.6,240,0,13,177,1
타이탄의 도구들(리커버 에디션),,20200309,자기계발,15000,9.2,367,1,8,178,1
백종원이 추천하는 집밥 메뉴 52,,20140828,요리,9900,9.3,148,0,18,179,1
우리에겐 언어가 필요하다,입이 트이는 페미니즘,20160822,정치/사회,12000,9.5,192,1,13,180,1
왕초보 영어회화 100일의 기적,100일 후에는 나도 영어로 말한다,20160501,외국어,12000,9.4,240,1,17,181,1
눈보라 체이스,,20171220,소설,13800,9.1,368,1,7,182,1
해커스 신토익 리딩(Hackers TOEIC Reading),본 교재 무료 인강+무료 매월 토익 적중특강+토익정답 실시간 확인 서비스,20160321,외국어,18800,9.2,801,0,10,183,1
너무 재밌어서 잠 못 드는 세계사,,20161010,역사/문화,15000,7.7,304,1,18,184,1
게임의 이름은 유괴(양장본 HardCover),,20171125,소설,14800,9.4,376,1,10,185,1
2019 부의 대절벽,피할 수 없는 거대한 붕괴가 시작된다,20170908,경제/경영,17000,7.9,388,1,11,186,1
대량살상 수학무기,어떻게 빅데이터는 불평등을 확산하고 민주주의를 위협하는가,20170921,정치/사회,16000,9.2,392,1,9,187,1
종의 기원,정유정 장편소설,20160516,소설,13000,9.1,384,0,5,188,1
소중한 것은 모두 일상 속에 있다,일상을 정갈하게 마음을 고요하게,20171117,시/에세이,13000,9,256,1,18,189,1
무엇이 되지 않더라도,,20171218,시/에세이,15000,8.8,284,1,11,190,1
골목길 자본론,사람과 돈이 모이는 도시는 어떻게 디자인되는가,20171120,경제/경영,18000,9.1,392,1,7,191,1
부자의 시간(양장본 HardCover),부자는 어떻게 탄생하는가?,20171210,경제/경영,28000,9.2,500,1,6,192,1
못 참는 아이 욱하는 부모,,20160515,가정/육아,16800,8.7,344,1,14,193,1
말투 하나 바꿨을 뿐인데,"일,사랑,관계가 술술 풀리는 40가지 심리 기술",20170317,자기계발,13000,8.2,216,1,13,194,1
섬(시인의 그림이 있는)(정현종 문학 에디션 4)(양장본 HardCover),정현종 시선집,20150820,시/에세이,14000,9,164,1,1,195,1
일일일책,극한 독서로 인생을 바꾼 어느 주부 이야기,20171115,자기계발,14000,8.6,240,1,4,196,1
해커스 토익스피킹(토스) Start(2주 만에 끝내는)(개정판),신유형 완벽 반영 토스 Level 6 이상 달성 비법서,20150424,외국어,19800,9,550,0,9,197,1
2억 빚을 진 내게 우주님이 가르쳐준 운이 풀리는 말버릇,,20170814,자기계발,12800,9.5,252,1,31,198,1
미움받을 용기. 2,사랑과 진정한 자립에 대한 아들러의 가르침,20160502,인문,14900,9.4,320,0,10,199,1
신경 끄기의 기술,인생에서 가장 중요한 것만 남기는 힘,20171027,자기계발,15000,8.7,236,1,9,1,1
언어의 온도(3주년 150만부 기념 에디션),말과 글에는 나름의 따뜻함과 차가움이 있다,20160819,시/에세이,13800,8.8,308,1,6,2,1
82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover),조남주 장편소설,20161014,소설,13000,8.9,192,1,8,3,1
말 그릇(비울수록 사람을 더 채우는),,20170922,자기계발,15000,8.9,308,1,4,4,1
나의 영어 사춘기(리커버)(개정판),,20171222,외국어,13500,8.2,256,1,9,5,1
나미야 잡화점의 기적(양장본 HardCover),,20121219,소설,14800,9.3,456,1,11,6,1
나는 나로 살기로 했다,,20200316,시/에세이,13800,9,288,1,12,7,1
바깥은 여름,김애란 소설,20170628,소설,13000,9.2,272,1,6,8,1
무례한 사람에게 웃으며 대처하는 법,"인생자체는 긍정적으로, 개소리에는 단호하게",20180108,시/에세이,13800,8.8,264,1,19,9,1
말의 품격,말과 사람과 품격에 대한 생각들,20190318,인문,14500,8.7,232,1,5,10,1
어떻게 살 것인가,,20130313,인문,15000,9.2,342,1,9,11,1
트렌드 코리아 2018(10주년 특별판),서울대 소비트렌드분석센터의 2018 전망,20171030,경제/경영,18000,8.3,460,1,12,12,1
랩 걸(사이언스 걸스 시리즈),"나무, 과학 그리고 사랑",20170216,과학,17500,9,412,1,3,13,1
파리의 아파트,,20171205,소설,14500,9.1,408,1,7,14,1
그대 눈동자에 건배(양장본 HardCover),히가시노 게이고 소설집,20171127,소설,14000,9.2,348,1,10,15,1
우리는 언젠가 만난다,"나, 타인, 세계를 이어주는 40가지 눈부신 이야기",20171224,인문,14000,8.9,256,1,11,16,1
라틴어 수업(지적이고 아름다운 삶을 위한),,20190429,인문,15000,9.2,312,1,6,17,1
미중전쟁. 1: 풍계리 수소폭탄(양장본 HardCover),김진명 장편소설,20171212,소설,13800,8.8,280,1,17,18,1
일취월장,일을 잘하기 위한 8가지 원리,20171207,경제/경영,22000,8.8,576,1,4,19,1
운다고 달라지는 일은 아무것도 없겠지만(리커버),박준 산문,20170701,시/에세이,12000,9.1,192,1,21,20,1
해커스 토익 기출 보카(TOEIC VOCA),최신 기출 토익 어휘수록·영단어 30일 완성,20180810,외국어,12900,9.5,567,0,12,21,1
자존감 수업,하루에 하나 나를 사랑하게 되는 자존감 회복 훈련,20160901,인문,14000,9.2,304,1,6,22,1
인생에서 너무 늦은 때란 없습니다,모지스 할머니 이야기,20171216,시/에세이,13800,9.1,288,1,18,23,1
"나, 있는 그대로 참 좋다(몽글몽글 에디션)",자신이 얼마나 아름다운지 모르는 나에게 필요한 마음 주문,20170922,시/에세이,13800,9,264,1,14,24,1
보노보노처럼 살다니 다행이야(윈터 에디션),,20170406,시/에세이,16000,9.2,320,0,15,25,1
해커스 토익 RC 리딩(Hackers TOEIC Reading)(개정판),본 교재 무료 동영상강의 제공 | 단어암기장(별책) & 단어암기 MP3 제공,20181224,외국어,18800,9.4,804,0,12,26,1
도시는 무엇으로 사는가,도시를 보는 열다섯 가지 인문적 시선,20150325,인문,15000,9.2,391,1,12,27,1
기다리는 행복,이해인 수녀가 건네는 사랑의 인사,20171222,시/에세이,15000,9.2,400,1,7,28,1
지적 대화를 위한 넓고 얕은 지식,"역사, 경제, 정치, 사회, 윤리 편",20170117,인문,16000,9.1,376,0,18,29,1
개인주의자 선언,판사 문유석의 일상유감,20150923,인문,13500,9.1,280,1,8,30,1
블루오션 시프트(양장본 HardCover),경쟁 없는 새로운 시장으로 이동하는 법,20171230,경제/경영,20000,8.1,472,1,8,31,1
추리 천재 엉덩이 탐정. 5: 유적에서 날아온 SOS 사건(양장본 HardCover),,20171220,어린이(초등),12000,9,88,0,32,32,1
어떻게 원하는 것을 얻는가(밀리언 특별판)(개정판),20년 연속 와튼스쿨 최고 인기 강의,20171108,자기계발,16000,8.8,404,0,14,33,1
혼자 잘해주고 상처받지 마라,서운하고 속상한 마음을 들키지않으려고 애쓰는 당신을 위한 감정의 심리학,20161027,자기계발,15000,9.3,288,1,15,34,1
원피스. 87: 달콤하지 않아,,20171231,만화,5000,8.4,196,0,16,35,1
해커스 토익 LC 리스닝(Hackers TOEIC Listening)(개정판 7판),무료 실전문제 해설강의 | 단어암기장(별책) & 단어암기 MP3 제공,20190130,외국어,18800,9.5,626,0,13,36,1
