도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
세계사 편력. 1,아버지가 딸에게 들려 주는 세계사 이야기,20040605,역사/문화,18000,8.8,564,0,9,20,1
지적 대화를 위한 넓고 얕은 지식,"역사, 경제, 정치, 사회, 윤리 편",20170117,인문,16000,9.1,376,0,18,21,1
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,20141117,인문,14900,9.2,336,1,7,22,1
"명견만리: 정치, 생애, 직업, 탐구 편",지금까지 경험하지 못한 새로운 사회를 말하다,20170605,경제/경영,15800,9.6,304,1,22,23,1
오두막(100쇄 특별판)(개정판),모든 순간으로부터 자유로워지는 곳,20170508,소설,13800,9.1,448,0,3,24,1
한국의 젊은 부자들,무일푼에서 100억 원대 회사 만든 61인의 현재 진행형 성공기,20170508,경제/경영,15000,8.8,416,1,10,25,1
부자언니 부자연습,가난한 공주 부자되기 프로젝트,20170517,경제/경영,15000,8.7,259,1,9,26,1
마법천자문. 39: 전해라! 전할 전(손오공의 한자 대탐험),,20170529,어린이(초등),9800,9.5,159,0,20,27,1
하늘과 바람과 별과 시(미니북)(초판본)(1955년 정음사 오리지널 표지디자인),,20170317,시/에세이,5500,9.6,192,0,12,28,1
1시간에 1권 퀀텀 독서법,하루에 30분 3주면 된다!,20170331,자기계발,15000,8.4,280,1,14,29,1
가면산장 살인사건(양장본 HardCover),,20140926,소설,14800,9.3,336,0,9,30,1
해커스 토익 기출 보카(TOEIC VOCA),최신 기출 토익 어휘수록·영단어 30일 완성,20180810,외국어,12900,9.5,567,0,12,31,1
유시민의 글쓰기 특강,,20150410,인문,15000,9.5,292,1,11,32,1
바다가 보이는 이발소,,20170519,소설,13000,9.3,272,1,11,33,1
돈 되는 아파트 돈 안 되는 아파트(부동산 애널리스트가 알려주는),,20170525,경제/경영,14800,9.2,248,1,19,34,1
나는 뻔뻔하게 살기로 했다,더 이상 괜찮은 척하지 않겠다.,20170405,인문,13800,8.8,200,1,14,35,1
설민석의 한국사 대모험. 3,"온달, 왕의 시험에 대비하라!",20170526,어린이(초등),10500,9.6,220,1,15,36,1
대통령의 글쓰기,김대중 노무현 대통령에게 배우는 사람을 움직이는 글쓰기 비법,20170525,인문,16000,9.6,332,1,8,37,1
그릿(Grit),"IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘",20161028,자기계발,16000,8.9,416,0,2,38,1
채식주의자,,20071030,소설,12000,8.7,247,0,5,39,1
Who? Special 문재인(양장본 HardCover),제19대 대한민국 대통령 문재인 '친필 사인 수록' 특별판,20190605,어린이(초등),12800,9.2,208,1,16,40,1
설민석의 조선왕조실록,대한민국이 선택한 역사 이야기,20160720,역사/문화,22000,9.1,504,0,11,41,1
이동진 독서법,닥치는 대로 끌리는 대로 오직 재미있게,20170615,인문,12000,8.9,204,1,7,42,1
타이탄의 도구들(리커버 에디션),,20200309,자기계발,15000,9.2,367,1,8,43,1
상냥한 저승사자를 기르는 법,,20170515,소설,15000,9.8,452,1,15,44,1
보복대행전문주식회사. 1,이외수 장편소설,20170530,소설,13800,9.2,340,0,13,45,1
너의 안부를 묻는 밤(민트 스페셜 에디션),지민석 유귀선 감성 에세이,20170523,시/에세이,13000,9.7,256,1,11,46,1
완벽하지 않은 것들에 대한 사랑,온전한 나를 위한 혜민 스님의 따뜻한 응원,20160203,시/에세이,14800,9.5,296,1,17,47,1
영어회화 100일의 기적,100일 후에는 나도 영어로 말한다!,20150525,외국어,13500,8.8,256,1,13,48,1
말투 하나 바꿨을 뿐인데,"일,사랑,관계가 술술 풀리는 40가지 심리 기술",20170317,자기계발,13000,8.2,216,1,13,49,1
해커스 신토익 리딩(Hackers TOEIC Reading),본 교재 무료 인강+무료 매월 토익 적중특강+토익정답 실시간 확인 서비스,20160321,외국어,18800,9.2,801,0,10,50,1
영초언니,,20170518,시/에세이,13500,9.5,288,1,4,51,1
기린의 날개,,20170206,소설,16800,9.3,420,0,6,52,1
너라는 위로,,20170421,시/에세이,13000,9.5,252,1,6,53,1
지적 대화를 위한 넓고 얕은 지식: 현실너머 편,"철학, 과학, 예술, 종교, 신비 편",20150204,인문,16000,9.4,376,0,26,54,1
살인자의 기억법,김영하 장편소설,20130725,소설,10000,9.1,176,1,8,55,1
나의 한국현대사,"1959-2014, 55년의 기록",20140710,역사/문화,18000,9,420,1,8,56,1
쿠키런 어드벤처. 21: 대한민국 서울,쿠키들의 신나는 세계여행,20170525,어린이(초등),9800,9.4,164,0,21,57,1
새벽 세시 + 무너지지만 말아 + 새삼스러운 세상 한정판 스페셜 에디션 세트(전3권),,20170424,시/에세이,16500,9.5,264,0,42,58,1
해커스 신토익 리스닝(Hackers TOEIC Listening),받아쓰기&쉐도잉 프로그램ㅣ단어암기장(별책) 제공,20160321,외국어,18800,9.2,629,0,11,59,1
빨강머리 앤이 하는 말,아직 너무 늦지 않았을 우리에게,20160715,시/에세이,16000,9.3,336,1,12,60,1
숨결이 바람 될 때(양장본 HardCover),서른여섯 젊은 의사의 마지막 순간,20160822,시/에세이,14000,9.4,284,1,10,61,1
토킹 투 크레이지,또라이들을 길들이는 대화의 기술,20170522,자기계발,14000,9,352,1,9,62,1
에고라는 적,인생의 전환점에서 버려야 할 한 가지,20170403,자기계발,14800,8.7,296,1,6,63,1
인생의 재발견,"마흔 이후, 어떻게 살 것인가",20170605,인문,18000,9.2,432,1,7,64,1
낭만적 연애와 그 후의 일상(양장본 HardCover),알랭 드 보통 장편소설,20160825,소설,13500,9.1,300,1,15,65,1
플랫폼 레볼루션,4차 산업혁명 시대를 지배할 플랫폼 비즈니스의 모든 것,20170609,경제/경영,22000,9.6,512,1,8,66,1
아기곰의 재테크 불변의 법칙(전면개정판),,20170508,경제/경영,16000,9.2,312,1,15,67,1
임신 출산 육아 대백과(2019~2020)(개정판),술술 잘 읽히는 첫아기 잘 키우는 법,20190701,가정/육아,18500,9.6,410,0,12,68,1
시대의 소음(양장본 HardCover),줄리언 반스 장편소설,20170529,소설,14000,9,272,1,6,69,1
좀비고등학교 코믹스. 1,수상한 폐교,20170615,어린이(초등),9800,9,160,0,13,70,1
너의 이름은. 3(완결),,20170531,만화,5500,9.5,178,1,9,71,1
소년이 온다,한강 장편소설,20140519,소설,12000,9.6,216,0,6,72,1
새는 날아가면서 뒤돌아보지 않는다,,20170225,시/에세이,14000,9.5,280,1,18,73,1
영어책 한 권 외워봤니?,,20170111,자기계발,14000,9.1,292,0,13,74,1
꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주 시집,20150620,시/에세이,10000,9.2,184,0,11,75,1
해커스 토익 스타트 리딩(Hackers TOEIC Start Reading)(신토익 Edition)(3판),본 교재 무료 동영상강의 + 온라인 신토익 모의고사,20190116,외국어,14900,9.4,582,0,13,76,1
완벽한 공부법,모든 공부의 최고의 지침서,20170106,자기계발,19800,9,516,1,7,77,1
해바라기가 피지 않는 여름(미스티 아일랜드 5),,20140905,소설,12000,9.1,363,1,14,78,1
못 참는 아이 욱하는 부모,,20160515,가정/육아,16800,8.7,344,1,14,79,1
"경제, 알아야 바꾼다",내 삶을 바꾸는 경제 이야기 12,20170405,경제/경영,15000,9.4,408,1,11,80,1
나에게 고맙다,"가장 흔한 말, 정작 나에게 하지 못한 인사",20160701,시/에세이,13800,9.3,272,1,7,81,1
북유럽 신화,,20170626,역사/문화,14800,8.7,312,0,6,82,1
할머니는 죽지 않는다,공지영 소설,20170403,소설,12000,9.3,243,1,11,83,1
어쩌면 별들이 너의 슬픔을 가져갈지도 몰라(감성치유 라이팅북),김용택의 꼭 한번 필사하고 싶은 시,20150604,시/에세이,12800,9.4,280,0,23,84,1
부동산 투자 이렇게 쉬웠어?,당신을 부자로 만들어 줄 실전 투자 Secret,20170607,경제/경영,16000,9.6,280,0,15,85,1
총 균 쇠,무기 병균 금속은 인류의 운명을 어떻게 바꿨는가,20051219,역사/문화,28000,9.1,751,0,5,86,1
혼자 잘해주고 상처받지 마라,서운하고 속상한 마음을 들키지않으려고 애쓰는 당신을 위한 감정의 심리학,20161027,자기계발,15000,9.3,288,1,15,87,1
아홉 살 마음 사전,,20170310,어린이(초등),11000,9.6,168,0,10,88,1
수학의 언어로 세상을 본다면,수학자 아버지가 들려주는 수학으로 본 세계,20170609,과학,16500,9.3,340,0,15,89,1
데드 하트,더글라스 케네디 장편소설,20170517,소설,13800,9,344,1,5,90,1
운명과 분노,로런 그로프 장편소설,20170405,소설,16500,9.1,608,1,6,91,1
알사탕(그림책이 참 좋아 39)(양장본 HardCover),,20170325,유아(0~7세),12000,9.2,48,0,3,92,1
퇴사하겠습니다,,20170117,시/에세이,12800,8.7,204,1,7,93,1
제8회 젊은작가상 수상작품집(2017),,20170407,소설,12000,9.5,352,1,15,94,1
독서 천재가 된 홍 팀장,실행력을 높이는 기적의 독서 솔루션,20170522,자기계발,15000,9.8,348,1,13,95,1
데미안(초판본)(1919년 초판본 오리지널 표지 디자인)(양장본 HardCover),,20160627,소설,9800,9.7,276,1,3,96,1
우아한 관찰주의자,눈으로 차이를 만든다,20170614,자기계발,18500,9.3,416,1,9,97,1
습관 성형,몸이 변하고 인생이 바뀌는 습관 훈련 다이어트,20170522,건강,13500,9.1,244,1,5,98,1
미움받아도 괜찮아,어린이를 위한 용기의 심리학,20170501,어린이(초등),13000,9.5,166,0,9,99,1
다 괜찮다 + 상처 하나 위로 둘 + 다정하게 한정판 스페셜 에디션 세트(전3권),,20170612,시/에세이,16500,9.3,854,0,40,100,1
스물아홉 생일 1년 후 죽기로 결심했다,제1회 일본감동대상 대상 수상작,20120720,시/에세이,12800,9.2,235,0,21,101,1
해커스 토익 스타트 리스닝(Hackers TOEIC Start Listening)(신토익 Edition),"온라인 신토익 모의고사, 받아쓰기&쉐도잉 프로그램",20190130,외국어,14900,9.4,584,0,14,102,1
마켓 4.0(필립 코틀러의)(양장본 HardCover),4차 산업혁명이 뒤바꾼 시장을 선점하라,20170217,경제/경영,16000,8.8,284,1,6,103,1
주식투자 무작정 따라하기(개정판),70만 왕초보가 감동했다! 완벽한 투자 입문서!,20170102,경제/경영,16500,8.5,400,0,13,104,1
백종원이 추천하는 집밥 메뉴 55(백종원이 추천하는 집밥 메뉴 3),,20170421,요리,9900,9.3,152,1,18,105,1
78층 나무 집(456 Book 클럽)(양장본 HardCover),,20181105,어린이(초등),12000,9.5,384,0,8,106,1
하이큐!!. 25,반환,20170630,만화,5000,9.5,188,1,9,107,1
저스트고 오사카: 교토 고베 나라(2017-2018)(Just Go 2),카카오프렌즈 스페셜 에디션,20170330,여행,18500,9.9,592,0,18,108,1
마티네의 끝에서,히라노 게이치로 장편소설,20170522,소설,15000,9.6,496,1,8,109,1
쇼코의 미소,최은영 소설,20190620,소설,12000,9.5,296,1,6,110,1
센서티브(양장본 HardCover),남들보다 민감한 사람을 위한 섬세한 심리학,20170209,인문,14000,9.1,244,1,4,111,1
원피스. 84: 루피 VS. 상디,,20170331,만화,5000,9.3,192,1,18,112,1
사용빈도 1억 영어회화 표현(마유영어),원어민 99%가 매일같이 쓰는 역대 최강 회화 표현 컬렉션,20170520,외국어,13000,8.3,304,1,15,113,1
나는 까칠하게 살기로 했다,상처받지 않고 사람을 움직이는 관계의 심리학,20161128,자기계발,15000,9.2,356,1,14,114,1
베리 심플(Very Simple)(양장본 HardCover),인생이 한결 편안해지는 미니멀 사고,20170605,자기계발,13000,8.8,184,1,5,115,1
프레임(양장본 HardCover),나를 바꾸는 심리학의 지혜,20160831,자기계발,16000,9.4,308,1,3,116,1
대한민국 부동산 투자,시장을 예측하는 가장 정확한 투자서,20170322,경제/경영,16500,9.5,308,1,11,117,1
설민석의 무도 한국사 특강(Human Special Lecture 2),,20140117,역사/문화,20000,9.5,420,0,14,118,1
부자언니 부자특강,평범한 월급쟁이 부자되는 공식,20150507,경제/경영,13800,9,272,1,9,119,1
7년의 밤,정유정 장편소설,20160530,소설,14500,9.2,523,1,5,120,1
정희,서정희 에세이,20170615,시/에세이,16000,9.5,264,1,2,121,1
있는 자리 흩트리기,나와 세상의 벽을 넘는 유쾌한 반란,20170505,자기계발,15000,9.8,300,1,10,122,1
참 소중한 너라서(있는 그대로),지금도 충분히 아름다운 당신에게,,,,9.1,0,0,9,123,1
어린왕자(초판본)(양장본 HardCover),1943년 오리지널 초판본 표지디자인,20160830,소설,9800,9.7,148,1,4,124,1
심야식당. 18,밤 12시 기묘한 요리집이 문을 연다,20170531,만화,8500,9.5,186,1,8,125,1
딥 워크,"강렬한 몰입, 최고의 성과",20170401,자기계발,15000,8.5,268,1,4,126,1
돈되는 재건축 재개발(한 권으로 끝내는),,20170502,경제/경영,18000,9.6,414,0,11,127,1
ETS TOEIC(토익) Test 공식종합서 LC,출제기관 독점 공개,20160506,외국어,19800,9.4,744,0,9,128,1
상상초월 포켓몬 과학 연구소. 1,,20170425,어린이(초등),10000,9.1,208,0,18,129,1
미움받을 용기. 2,사랑과 진정한 자립에 대한 아들러의 가르침,20160502,인문,14900,9.4,320,0,10,130,1
왜 나는 너를 사랑하는가(개정판)(양장본 HardCover),,20130115,소설,12000,9.1,278,1,13,131,1
ETS TOEIC(토익) Test 공식종합서 RC,출제기관 독점 공개,20160506,외국어,19800,9.4,752,1,9,132,1
그럴 때 있으시죠?,"김제동과 나, 우리들의 이야기",20161025,시/에세이,15800,9.5,352,1,10,133,1
삼생삼세 십리도화,당칠공자 장편소설,20170620,소설,16000,9.6,572,1,9,134,1
추리 천재 엉덩이 탐정. 3: 불멸의 절도단 사건(양장본 HardCover),,20170330,어린이(초등),12000,9.8,88,0,27,135,1
공터에서,김훈 장편소설,20170203,소설,16000,9.3,360,1,4,136,1
백년을 살아보니,,20160801,인문,15000,9.3,300,1,8,137,1
김약국의 딸들(양장본 HardCover),박경리 장편소설,20130325,소설,15000,9.6,432,1,7,138,1
밤이 선생이다,황현산 산문집,20160511,시/에세이,13000,9.3,302,1,7,139,1
매일 10분 기초 영문법의 기적,영어패턴이 보이고 영어회화가 된다!,20170413,외국어,12000,9.3,160,1,17,140,1
"그때, 나에게 미처 하지 못한 말",마음속에 새기고 싶은 인생의 키워드 20,20170420,시/에세이,16000,9.1,360,1,18,141,1
착! 붙는 일본어 독학 첫걸음(CD1장포함),하루 한 시간 한 달 완성,20151015,외국어,14000,9.5,248,0,16,142,1
코스모스(보급판),,20100120,과학,18500,9.2,719,1,4,143,1
너무 재밌어서 잠 못 드는 세계사,,20161010,역사/문화,15000,7.7,304,1,18,144,1
정재승의 과학 콘서트(개정증보판),복잡한 세상 명쾌한 과학,20110707,과학,13500,8.8,360,0,11,145,1
블록체인 혁명(양장본 HardCover),"제4차 산업혁명 시대, 인공지능을 뛰어넘는 거대한 기술",20170120,경제/경영,25000,8.2,588,1,7,146,1
한마디면 충분하다,"컨셉부터 네이밍, 기발한 카피에서 꽂히는 멘트까지",20170510,경제/경영,16000,9,336,1,9,147,1
최강의 식사,인생을 바꾸는 실리콘밸리식 완전무결 2주 다이어트,20170616,건강,17000,9.1,368,1,6,148,1
백종원이 추천하는 집밥 메뉴 54,,20160120,요리,9900,8.2,156,1,18,149,1
내일은 로봇왕. 1: 축구로봇 vs 배틀로봇,본격 대결 과학로봇 만화,20170530,어린이(초등),23800,8.9,176,0,24,150,1
신비아파트 고스트볼의 비밀. 5,TV 애니메이션 방영작,20170515,어린이(초등),9500,9.3,184,0,17,151,1
도티&잠뜰 TV(오리지널 스토리북),쓸데없이 감동적인 이야기,20170310,어린이(초등),8500,9.2,102,0,8,152,1
당신은 아무 일 없던 사람보다 강합니다,변화하고 싶다면 새롭고 싶다면 다시 시작하고 싶다면 김창옥의 인생특강,20161008,자기계발,14800,9.5,272,1,21,153,1
토지. 1(1부 1권)(양장본 HardCover),박경리 대하소설,20120815,소설,13500,9.6,440,1,5,154,1
수인. 1: 경계를 넘다(양장본 HardCover),황석영 자전,20170610,시/에세이,16500,9.5,496,1,13,155,1
일빵빵 영어회화. 1(스토리가 있는),,20120601,외국어,13800,9.6,240,0,11,156,1
브루클린의 소녀,기욤 뮈소 장편소설,20161206,소설,14500,9.4,424,1,8,157,1
노 게임 노 라이프 프랙티컬 워게임(노블엔진(Novel Engine)),,20170609,소설,7300,10,384,0,19,158,1
클로즈업 도쿄(2019)(개정판)(클로즈업 시리즈 2),도쿄 디즈니 리조트 요코하마 하코네 닛코 카마쿠라,20180716,여행,17000,8.5,532,0,7,159,1
여덟 단어,인생을 대하는 우리의 자세,20130520,인문,15000,9.4,237,1,5,160,1
종의 기원,정유정 장편소설,20160516,소설,13000,9.1,384,0,5,161,1
왕초보 영어회화 100일의 기적,100일 후에는 나도 영어로 말한다,20160501,외국어,12000,9.4,240,1,17,162,1
"멈추면, 비로소 보이는 것들(개정판)",혜민 스님과 함께하는 내 마음 다시보기,20170315,시/에세이,14800,9.4,320,0,15,163,1
도티&잠뜰: 새로운 영웅(Sandbox Friends 코믹 시리즈 3),,20170323,어린이(초등),9500,9.9,160,0,13,164,1
보노보노. 1,,20170522,만화,8000,9.7,132,0,7,165,1
너에게 하고 싶은 말,"차마 하지 못했던, 미처 하지 못했던",20151211,시/에세이,13000,9.4,212,1,11,166,1
보통의 존재(10주년 기념 특별판),이석원 산문집,20091104,시/에세이,12000,9,386,0,6,167,1
하루 30분의 힘,당신의 미래를 바꾸는 기적의 시간 사용법,20170425,자기계발,12800,8.9,220,1,9,168,1
태도에 관하여(양장본 HardCover),나를 살아가게 하는 가치들,20150330,시/에세이,12000,9.3,304,0,7,169,1
미스터 하이든,,20160629,소설,13000,8.2,348,1,7,170,1
스페셜솔져 코믹스. 3,군캐 그리고 구여캐,20170427,어린이(초등),9800,9.6,160,0,12,171,1
운명이다,노무현 자서전,20100426,정치/사회,15000,9.5,392,0,4,172,1
수박 수영장(양장본 HardCover),안녕달 그림책,20150727,유아(0~7세),12000,9.6,52,0,6,173,1
프렌즈 다낭('17~'18)(Season1)(프렌즈 시리즈 28),호이안 후에,20170201,여행,12500,9,300,0,6,174,1
두 번째 명함,나와 꼭 맞는 일을 찾아내는 13가지 전략,20170502,자기계발,16000,8.6,344,1,7,175,1
해커스 토익 700+ LC+RC(한 권으로 끝내는),신토익 출제유형 100% 반영,20191227,외국어,19500,9.4,596,0,17,176,1
백종원이 추천하는 집밥 메뉴 52,,20140828,요리,9900,9.3,148,0,18,177,1
소드 아트 온라인. 19: 문 크레이들(J노블(J Novel)),,20170530,소설,7000,9.7,263,0,21,178,1
당신의 마음을 안아줄게요,,20170125,시/에세이,14800,9,508,0,13,179,1
"명견만리: 윤리, 기술, 중국, 교육 편",우리가 준비해야 할 미래의 기회를 말하다,20160921,경제/경영,15800,9.6,320,1,22,180,1
해커스 보카(Hackers Vocabulary)(개정판 2판),토플/IELTS/텝스/공무원/SAT/특목고,20150701,외국어,16900,9.3,366,0,6,181,1
아들을 잘 키운다는 것,오늘도 아들 때문에 흔들리고 힘겨워하는 엄마들에게,20170320,가정/육아,12000,9.4,208,1,12,182,1
나는 왜 너를 사랑하는가(양장본 HardCover),,20160901,시/에세이,14000,9.1,96,0,13,183,1
인간력,사람을 얻는 힘,20170517,자기계발,14000,8.9,248,1,3,184,1
너의 이름은.,,20170117,소설,11000,9.6,296,1,7,185,1
꿈을 요리하는 마법 카페,,20170410,어린이(초등),12800,9.3,180,0,13,186,1
유아 식판식,편식 걱정 없이 혼자서도 잘 먹는,20150325,요리,13000,9.1,200,0,6,187,1
아몬드(양장본 HardCover),손원평 장편소설,20170331,소설,12000,9.3,263,0,3,188,1
13층 나무 집(456 Book 클럽)(양장본 HardCover),,20181105,어린이(초등),11000,9.5,248,0,8,189,1
이기적 유전자(개정판),,20100810,과학,18000,8.9,540,0,7,190,1
"엄마, 오늘도 사랑해(양장본 HardCover)",,20170405,시/에세이,13000,9.7,224,1,11,191,1
최강 동물왕: 멸종동물 편,지구의 지배자는 누구였을까?,20161220,어린이(초등),12000,9.2,144,0,14,192,1
당신은 개를 키우면 안 된다,혼내지 않고 혼나지 않아도 되는 반려견 교육서,20140530,취미/실용/스포츠,13800,9.6,294,0,15,193,1
인간 실격(세계문학전집 103),,20120410,소설,8000,9.3,192,1,5,194,1
엄마의 첫 부동산 공부,"내 집 마련부터 꼬마 월세까지, 이 책 한 권으로 따라한다",20170328,경제/경영,15000,8.5,340,1,12,195,1
지적자본론,모든 사람이 디자이너가 되는 미래,20151102,경제/경영,13800,9.1,216,1,5,196,1
90일 완성 돈 버는 평생 습관,저절로 돈이 모이는 초간단 재테크,20170303,경제/경영,12000,9.2,188,1,17,197,1
42가지 마음의 색깔(양장본 HardCover),감정을 표현하는 법을 배워요,20191223,유아(0~7세),14000,9.5,92,1,11,198,1
하루 한 장 리스트의 힘(100번의 계획보다 강력한),,20170531,자기계발,15000,9.2,356,1,13,199,1
지도로 읽는다 한눈에 꿰뚫는 세계사 명장면,,20170614,역사/문화,16000,8.6,400,0,23,200,1
기사단장 죽이기. 1: 현현하는 이데아(양장본 HardCover),무라카미 하루키 장편소설,20170712,소설,16300,9.2,568,1,21,1,1
언어의 온도(3주년 150만부 기념 에디션),말과 글에는 나름의 따뜻함과 차가움이 있다,20160819,시/에세이,13800,8.8,308,1,6,2,1
오직 두 사람,김영하 소설,20170525,소설,13000,9.2,272,1,7,3,1
82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover),조남주 장편소설,20161014,소설,13000,8.9,192,1,8,4,1
잠. 1(양장본 HardCover),베르나르 베르베르 장편소설,20170608,소설,13800,9.3,336,1,4,5,1
말의 품격,말과 사람과 품격에 대한 생각들,20190318,인문,14500,8.7,232,1,5,6,1
자존감 수업,하루에 하나 나를 사랑하게 되는 자존감 회복 훈련,20160901,인문,14000,9.2,304,1,6,7,1
보노보노처럼 살다니 다행이야(윈터 에디션),,20170406,시/에세이,16000,9.2,320,0,15,8,1
위험한 비너스,히가시노 게이고 장편소설,20170630,소설,14800,9.2,488,0,7,9,1
호모 데우스,미래의 역사,20170519,인문,22000,9.3,630,1,6,10,1
나미야 잡화점의 기적(양장본 HardCover),,20121219,소설,14800,9.3,456,1,11,11,1
어떻게 살 것인가,,20130313,인문,15000,9.2,342,1,9,12,1
바깥은 여름,김애란 소설,20170628,소설,13000,9.2,272,1,6,13,1
나는 나로 살기로 했다,,20200316,시/에세이,13800,9,288,1,12,14,1
라틴어 수업(지적이고 아름다운 삶을 위한),,20190429,인문,15000,9.2,312,1,6,15,1
레버리지,자본주의 속에 숨겨진 부의 비밀,20170508,경제/경영,15000,8.3,252,1,4,16,1
예언(양장본 HardCover),,20170710,소설,14800,8.8,376,1,2,17,1
원피스. 85: 거짓말쟁이,,20170630,만화,5000,9.2,196,1,14,18,1
운다고 달라지는 일은 아무것도 없겠지만(리커버),박준 산문,20170701,시/에세이,12000,9.1,192,1,21,19,1
해커스 토익 기출 보카(TOEIC VOCA),최신 기출 토익 어휘수록·영단어 30일 완성,20180810,외국어,12900,9.5,567,0,12,20,1
모든 관계는 말투에서 시작된다(10만 부 기념 스페셜 에디션),기분 좋은 사람으로 기억되는 사소한 습관,20181101,자기계발,12800,8.5,200,1,16,21,1
사피엔스,유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문,20151124,인문,22000,9.3,636,1,4,22,1
살인자의 기억법,김영하 장편소설,20130725,소설,10000,9.1,176,1,8,23,1
지적 대화를 위한 넓고 얕은 지식,"역사, 경제, 정치, 사회, 윤리 편",20170117,인문,16000,9.1,376,0,18,24,1
북유럽 신화,,20170626,역사/문화,14800,8.7,312,0,6,25,1
약간의 거리를 둔다,소노 아야코 에세이,20161020,시/에세이,9900,8.6,160,1,10,26,1
미움받을 용기,자유롭고 행복한 삶을 위한 아들러의 가르침,20141117,인문,14900,9.2,336,1,7,27,1
가면산장 살인사건(양장본 HardCover),,20140926,소설,14800,9.3,336,0,9,28,1
제4차 산업혁명(클라우스 슈밥의),,20160420,경제/경영,15000,8.8,300,1,8,29,1
해커스 신토익 리딩(Hackers TOEIC Reading),본 교재 무료 인강+무료 매월 토익 적중특강+토익정답 실시간 확인 서비스,20160321,외국어,18800,9.2,801,0,10,30,1
국가란 무엇인가(개정신판),,20170123,인문,15000,9.4,334,1,8,31,1
유시민의 글쓰기 특강,,20150410,인문,15000,9.5,292,1,11,32,1
플랫폼 레볼루션,4차 산업혁명 시대를 지배할 플랫폼 비즈니스의 모든 것,20170609,경제/경영,22000,9.6,512,1,8,33,1
해커스 토익 스타트 리딩(Hackers TOEIC Start Reading)(신토익 Edition)(3판),본 교재 무료 동영상강의 + 온라인 신토익 모의고사,20190116,외국어,14900,9.4,582,0,13,34,1
영어회화 100일의 기적,100일 후에는 나도 영어로 말한다!,20150525,외국어,13500,8.8,256,1,13,35,1
설민석의 조선왕조실록,대한민국이 선택한 역사 이야기,20160720,역사/문화,22000,9.1,504,0,11,36,1
ETS TOEIC(토익) Test 공식종합서 LC,출제기관 독점 공개,20160506,외국어,19800,9.4,744,0,9,37,1
두근두근,변화의 시작,20170629,자기계발,14900,8.8,376,0,4,38,1
해커스 신토익 리스닝(Hackers TOEIC Listening),받아쓰기&쉐도잉 프로그램ㅣ단어암기장(별책) 제공,20160321,외국어,18800,9.2,629,0,11,39,1
ETS TOEIC(토익) Test 공식종합서 RC,출제기관 독점 공개,20160506,외국어,19800,9.4,752,1,9,40,1
별일 아닌 것들로 별일이 됐던 어느 밤,인스타그램 7만 독자의 사랑을 받은 어느 예술가의 독백,20170703,시/에세이,13800,8.3,248,1,21,41,1
"9등급 꼴찌, 1년 만에 통역사 된 비법",,20170410,자기계발,14000,8.7,280,0,22,42,1
